role_archetype_id,task_type,difficulty_band,prompt_template,expected_signals_json,probe_tree_json,tags_json
security_engineer,behavioral_star,all,Tell me about a time you faced {{situation}}. What did you do and what happened?,"[""clear context"", ""specific actions"", ""impact"", ""reflection""]","[""What was your role?"", ""Outcome?"", ""What would you do differently?""]","[""behavioral"", ""ownership""]"
qa_test_engineer,behavioral_star,all,Tell me about a time you faced {{situation}}. What did you do and what happened?,"[""clear context"", ""specific actions"", ""impact"", ""reflection""]","[""What was your role?"", ""Outcome?"", ""What would you do differently?""]","[""behavioral"", ""ownership""]"
product_manager,case_interview,entry-mid,Case: {{case_prompt}}. First restate the problem and your approach.,"[""structures approach"", ""clarifying questions"", ""assumptions"", ""drives to recommendation""]","[""What data do you need?"", ""What are key drivers?"", ""What risks to your plan?""]","[""case"", ""structure""]"
product_manager,metrics_case,entry-mid,Metric: {{metric}} moved by {{delta}}. How do you diagnose and respond?,"[""defines metric"", ""funnels/segments"", ""hypotheses"", ""action plan""]","[""What would you check first?"", ""How to validate?"", ""What tradeoffs?""]","[""metrics"", ""diagnosis""]"
product_manager,execution_scenario,entry-mid,Scenario: {{scenario}}. What would you do in the first 2 weeks?,"[""prioritizes"", ""success metrics"", ""stakeholder plan"", ""iteration""]","[""What would you NOT do?"", ""How measure success?"", ""How handle disagreement?""]","[""execution"", ""stakeholders""]"
technical_program_manager,behavioral_star,all,Tell me about a time you faced {{situation}}. What did you do and what happened?,"[""clear context"", ""specific actions"", ""impact"", ""reflection""]","[""What was your role?"", ""Outcome?"", ""What would you do differently?""]","[""behavioral"", ""ownership""]"
product_designer,portfolio_walkthrough,all,"Walk me through a project from your portfolio: {{project}}. Focus on problem, process, and outcomes.","[""problem framing"", ""user research"", ""iterations"", ""impact""]","[""What would you do differently?"", ""How did you handle constraints?"", ""How did you collaborate?""]","[""portfolio"", ""design""]"
product_designer,design_case,entry-mid,"Design a solution for: {{prompt}}. Think aloud, ask clarifying questions, then propose flows.","[""clarifies users"", ""defines success"", ""generates options"", ""tradeoffs""]","[""Who is the user?"", ""What is MVP?"", ""How measure success?""]","[""design_case"", ""ux""]"
product_designer,critique,entry-mid,"Critique this interface: {{ui_description}}. What works, what doesn’t, and what would you change?","[""observes issues"", ""prioritizes"", ""ties to user goals"", ""practical fixes""]","[""What is highest priority?"", ""Any accessibility issues?"", ""Any risks?""]","[""critique"", ""ui""]"
marketing_growth,case_interview,entry-mid,Case: {{case_prompt}}. First restate the problem and your approach.,"[""structures approach"", ""clarifying questions"", ""assumptions"", ""drives to recommendation""]","[""What data do you need?"", ""What are key drivers?"", ""What risks to your plan?""]","[""case"", ""structure""]"
marketing_growth,metrics_case,entry-mid,Metric: {{metric}} moved by {{delta}}. How do you diagnose and respond?,"[""defines metric"", ""funnels/segments"", ""hypotheses"", ""action plan""]","[""What would you check first?"", ""How to validate?"", ""What tradeoffs?""]","[""metrics"", ""diagnosis""]"
marketing_growth,execution_scenario,entry-mid,Scenario: {{scenario}}. What would you do in the first 2 weeks?,"[""prioritizes"", ""success metrics"", ""stakeholder plan"", ""iteration""]","[""What would you NOT do?"", ""How measure success?"", ""How handle disagreement?""]","[""execution"", ""stakeholders""]"
sales_account,roleplay_discovery,entry-mid,Roleplay: I’m a prospect. Start discovery for {{product_context}}.,"[""asks questions"", ""listens"", ""maps needs"", ""next steps""]","[""Why is this important?"", ""What\u2019s current workaround?"", ""Decision process?""]","[""roleplay"", ""discovery""]"
sales_account,objection_roleplay,entry-mid,Roleplay: Handle this objection: '{{objection}}'.,"[""acknowledges"", ""clarifies"", ""responds with value"", ""confirms""]","[""What would you ask?"", ""What proof points?"", ""What next step?""]","[""roleplay"", ""objection""]"
sales_account,account_plan_case,mid,Create a 30-60-90 day plan for {{account_type}}. Focus on adoption/value/renewal.,"[""prioritizes"", ""success metrics"", ""stakeholders"", ""risk plan""]","[""How measure value?"", ""Where can it fail?"", ""Escalation path?""]","[""account_plan"", ""cs""]"
customer_success,roleplay_discovery,entry-mid,Roleplay: I’m a prospect. Start discovery for {{product_context}}.,"[""asks questions"", ""listens"", ""maps needs"", ""next steps""]","[""Why is this important?"", ""What\u2019s current workaround?"", ""Decision process?""]","[""roleplay"", ""discovery""]"
customer_success,objection_roleplay,entry-mid,Roleplay: Handle this objection: '{{objection}}'.,"[""acknowledges"", ""clarifies"", ""responds with value"", ""confirms""]","[""What would you ask?"", ""What proof points?"", ""What next step?""]","[""roleplay"", ""objection""]"
customer_success,account_plan_case,mid,Create a 30-60-90 day plan for {{account_type}}. Focus on adoption/value/renewal.,"[""prioritizes"", ""success metrics"", ""stakeholders"", ""risk plan""]","[""How measure value?"", ""Where can it fail?"", ""Escalation path?""]","[""account_plan"", ""cs""]"
bizops_strategy,case_interview,entry-mid,Case: {{case_prompt}}. First restate the problem and your approach.,"[""structures approach"", ""clarifying questions"", ""assumptions"", ""drives to recommendation""]","[""What data do you need?"", ""What are key drivers?"", ""What risks to your plan?""]","[""case"", ""structure""]"
bizops_strategy,metrics_case,entry-mid,Metric: {{metric}} moved by {{delta}}. How do you diagnose and respond?,"[""defines metric"", ""funnels/segments"", ""hypotheses"", ""action plan""]","[""What would you check first?"", ""How to validate?"", ""What tradeoffs?""]","[""metrics"", ""diagnosis""]"
bizops_strategy,execution_scenario,entry-mid,Scenario: {{scenario}}. What would you do in the first 2 weeks?,"[""prioritizes"", ""success metrics"", ""stakeholder plan"", ""iteration""]","[""What would you NOT do?"", ""How measure success?"", ""How handle disagreement?""]","[""execution"", ""stakeholders""]"
operations_general,behavioral_star,all,Tell me about a time you faced {{situation}}. What did you do and what happened?,"[""clear context"", ""specific actions"", ""impact"", ""reflection""]","[""What was your role?"", ""Outcome?"", ""What would you do differently?""]","[""behavioral"", ""ownership""]"
finance_strategy,behavioral_star,all,Tell me about a time you faced {{situation}}. What did you do and what happened?,"[""clear context"", ""specific actions"", ""impact"", ""reflection""]","[""What was your role?"", ""Outcome?"", ""What would you do differently?""]","[""behavioral"", ""ownership""]"
consulting_general,case_interview,entry-mid,Case: {{case_prompt}}. First restate the problem and your approach.,"[""structures approach"", ""clarifying questions"", ""assumptions"", ""drives to recommendation""]","[""What data do you need?"", ""What are key drivers?"", ""What risks to your plan?""]","[""case"", ""structure""]"
consulting_general,metrics_case,entry-mid,Metric: {{metric}} moved by {{delta}}. How do you diagnose and respond?,"[""defines metric"", ""funnels/segments"", ""hypotheses"", ""action plan""]","[""What would you check first?"", ""How to validate?"", ""What tradeoffs?""]","[""metrics"", ""diagnosis""]"
consulting_general,execution_scenario,entry-mid,Scenario: {{scenario}}. What would you do in the first 2 weeks?,"[""prioritizes"", ""success metrics"", ""stakeholder plan"", ""iteration""]","[""What would you NOT do?"", ""How measure success?"", ""How handle disagreement?""]","[""execution"", ""stakeholders""]"
